,company,year,EoF for SCR (£m),Excess of assets over liabilities (£m) [= equity],GWP (£m),NWP (£m) ,SCR (£m),SCR coverage ratio,Total assets (£m),Total liabilities (£m),"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",Gross claims incurred (£m),Gross combined ratio,Gross expense ratio,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Net combined ratio,Net expense ratio,Pure gross claims ratio,Pure net claims ratio
1110,3,2016,693.5226877917346,210.91880779528236,0.0,0.0,486.8877958868649,1.1354978298472036,54.67835208929756,68.00084448501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111,3,2017,767.2522030199601,100.77689119170718,68.1051502952764,0.8061303680871948,495.786299030199,1.7137627458645972,2321.1071291554454,1592.310596623569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,3,2018,582.6023283780972,87.58606677227816,138.08331610251574,36.62019900755589,626.6122173590844,1.2227812097697366,1961.5457306465048,1005.3289268909017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113,3,2019,114.81972902063747,922.4876587624241,148.586347148166,86.6300177587044,81.24257946848688,1.3483116636336157,226.50591722411414,593.6891008203366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114,3,2020,841.9326761020571,412.4662069588938,38.119418231428924,54.74418007968672,362.0929218655227,0.2452828567268876,540.5946709504975,374.7121550357958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,4,2016,29997.67427915598,24862.167211432417,43375.806960310176,19677.45335334369,15975.652771305251,0.679157824749635,64985.73442087881,48416.74335575748,-35.11276760031978,14.34093849912894,1.047234208157352,0.23113940715745485,-1.4583904534595367,0.6724811477198254,0.33867829077103734,0.060352456502126436,1.384419618521016
1296,4,2017,36644.40479670344,7191.961835796562,23689.616366977127,41072.81615551643,15367.8870992743,1.2248344476876403,51060.06985836068,30870.22654076019,7.848684904000995,71.06244714238561,0.4763843990933207,0.28547125355705194,12.273377933748678,1.9869523098314188,0.006629329531415659,1.3076663318360673,1.7979514599206041
1297,4,2018,10096.9779332528,12910.346382805948,68276.76399735965,20885.50644457689,10797.123318932956,2.699101788179343,138993.22853457718,68145.0690792296,100.87627001745905,87.9124713237458,3.307378843478033,0.05415039687690857,56.12905227079385,1.8415283383643815,0.08397676780599463,2.521607414002212,3.4578912104532216
1298,4,2019,8536.23483057462,12586.973993419428,41081.45344852722,14719.67291443594,22788.35946768266,2.0252063480681985,105167.62352576847,92600.14010766316,167.9595358151515,42.280401637337754,1.247403375411361,0.05184821153737166,146.187938739908,3.8172209112193274,0.0916669529636263,0.27374570260898706,0.0038475501698797677
1299,4,2020,41636.299252158744,24127.839035458303,37761.88332103191,49204.46513615872,16090.310420323205,1.1958290318141402,37423.54326123887,92273.05396844224,0.05759892561622694,3.668493703107413,-2.303093034826068,-0.16288336913828425,38.903549110622215,-3.5487314600183835,-0.11838377798728057,-9.382388735244048,-5.765023558051932
1350,5,2016,149.65474813275208,262.68352968665073,80.18391635939476,128.8122075540615,32.742278982636215,1.4634994403047867,572.0669064799522,267.4589672411976,8.38670125842201,48.73860600477963,0.2436114285756736,0.23612842626376865,46.17668122431677,0.5098712296259755,0.41761563226460585,0.13318164132890561,0.5976654783086923
1351,5,2017,202.85155056668427,7.592281334187147,55.798335634099736,10.407370936655743,43.95403924735113,4.963117715739771,140.7179837167945,22.979291800146747,253.14941406571506,425.7488693439914,1.977732028688713,0.23272486667668435,282.2703171565344,0.08759192156998218,0.15906355619694026,1.2266105318298328,2.222645201472409
1352,5,2018,167.40653424700514,96.9451921246796,55.46511286236725,79.57966325390584,31.622572008379212,3.232800383391596,31.622727203882615,69.34324544601853,587.4612085651953,691.3796685086007,2.4952872245970488,0.20450778125546212,317.8770030954708,2.403634704846472,0.0405871286790751,1.5239883856838596,0.7522154931229129
1353,5,2019,176.72219873204017,104.60976783810227,18.00065242257914,79.42362322335269,30.119284531868587,4.342353046406342,172.50910614616006,16.837469857609324,226.9774352912039,174.1012596512121,0.36545511276677267,0.1317385125109131,704.1299459691772,1.2408763136613596,0.16045514277328013,0.8519487139593112,0.36137659581457804
1354,5,2020,142.78356894548756,103.18097233994979,32.277534869186994,61.72729473804931,91.51528935936774,1.618599724318172,15.049929055868704,106.1795427142517,722.2394978665125,5.927624122258505,1.133645348089864,0.04870298975762643,582.1919882048094,1.8696675468097796,0.058344943129131153,0.7346374105448757,0.9145954116007368
1405,6,2016,3816.6664729491445,1730.0510652811818,1966.0631189349251,3091.3921175906476,5127.365838924387,0.04204995822714911,76031.72671430241,21524.885521049036,800.5318439578791,125.07679228830902,0.6503686226171146,0.1052666867442944,843.0400666374704,0.2809693133498721,0.4135642116949417,0.1462490031132432,1.4764362633448778
1406,6,2017,1421.1612022864515,2681.8824417565443,1199.6570697644295,3357.9340347512,5252.809366522446,0.6206488165725303,76887.53082489868,29794.425246362305,554.6120698158222,457.3197221458591,0.9042705628368403,0.45117769763733345,816.2661941651585,0.49660112840242177,0.3917988202704724,0.12723671573839554,0.1081223292597807
1407,6,2018,4927.791297677109,6397.690379418399,4061.617189379182,3215.47296702192,5460.800869432097,1.104387134715542,55185.11743774424,73169.14052696449,232.5502084841546,364.14875519155095,0.1471462936182151,0.23957640803536376,695.6275137869178,0.7000453097771654,0.002661349290642914,0.3878201261220037,1.246686132672959
1408,6,2019,6793.543081792665,4848.816356810676,7464.344111727662,53.2175894206748,4581.916567008434,2.2338223655336296,11332.290893025338,61908.33885756646,187.21374881431407,257.3324523424779,0.3510338688665203,0.2613225558916243,504.43594599437927,1.5232018813659176,0.2725070788523087,0.17696158111843002,0.24733323924050907
1409,6,2020,5628.46042581061,9295.371568896366,4209.115926295028,5969.707515833444,3102.9889590388284,2.4979637590642176,107547.78749404196,7915.435194480527,865.0140655578881,268.5278731760643,0.6878597389697763,0.06570955543233553,530.8859345526797,0.38456364010608735,0.24950166933032364,0.5211461456283779,0.02681791589035407
1460,7,2016,7034.106090456902,9579.73927037392,4169.537704096357,3148.478355811857,3352.5004392082656,1.6490175515826815,93321.45759434692,9079.892449278213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1461,7,2017,4477.933483509581,3474.8107570144134,12689.066336204962,3307.129485000403,2155.2016221474432,0.07928339194844859,8523.87107788745,157830.72449621957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1462,7,2018,6458.18840865072,13507.939847045203,5814.003841907128,713.8464201035655,4246.2390818406375,1.9112325072003506,59601.56268658031,1656.2013605483546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1463,7,2019,13013.584840915653,11434.723658397517,4224.697702034796,18232.37650982477,7597.76341699196,2.2965745545126657,60086.6040825925,5825.247115231625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,7,2020,7692.023873711289,13165.525249547232,16183.565613808138,6486.658898458129,3105.9939560728862,0.1037128904567473,58820.101135613106,178292.68653024948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,8,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68412750488666,0.10735388701246394,1.2717918773218742,0.519989902763687,1.1689494731047958,0.6405408071339612,0.2254382597314984,0.13333741084128373,0.24659470019391988
1516,8,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1184963734668019,-0.027761171537720484,0.12503484699733325,0.28316490623095747,0.3140880783570367,1.10621893885633,0.4210185364848868,-0.11796009178422631,-0.13383607414140358
1517,8,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8616285263464175,-0.17763106321913938,-0.013901196829431705,0.050565838594295885,0.9491476740327188,-0.9621928833220523,0.3350928997925915,-0.23636522003721666,-0.7666134997745658
1518,8,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2474815235322898,0.0,1.046206352054199,0.46466735631357675,0.18383154120095938,0.19351942837209027,0.9384328163368911,0.0,0.018346392215783696
1519,8,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027732611353245718,0.0,0.0,0.0,0.26240689048332055,0.0,0.0,0.0,0.0
1570,9,2016,34.96295366571185,0.39724947678504097,33.268662901319274,15.279748475312454,6.949545996216788,3.486424711446342,23.027527013765834,20.11650696590713,567.2169814826483,213.49653185027373,1.4131588402746262,0.703506547111474,28.721342948964864,1.5006271211481814,0.5144916610054329,0.6103009811702054,0.13251572475245782
1571,9,2017,46.8010820455176,15.613578203982316,24.4086936004898,15.175538409074221,23.009005785357722,2.4203360227248085,100.7936506298171,3.207393133491776,695.1437273384913,87.5931237535367,0.3377631428630233,0.4445643226129301,696.5788904749608,1.6248796606506009,0.14496587009641107,0.11400859706741508,0.08731033928831775
1572,9,2018,7.828986691106148,0.7936629235687084,31.896964788485416,27.793658236944854,25.178162050224344,0.6048681087857004,3.2742542772644487,46.90002956548679,835.7799506262777,193.0638678857374,1.5301922694520316,0.5949722859057089,790.3521783861547,1.1037107567337425,0.23075198748474848,0.9299581561291823,0.780486630899371
1573,9,2019,22.723942704926802,20.901734359247914,24.276470100285096,0.3543223192843499,16.348338970459448,3.9297994172278137,32.930936311164594,15.837435030308487,511.8590347159693,78.94937447706832,0.9023984893522725,0.04362752041336485,195.74228765305847,1.8564047747461434,0.6962808583824915,0.7975448811279359,0.9452082922267184
1574,9,2020,33.47002767464453,49.33002905362435,7.422013445389735,6.464530757397718,16.499678590967953,0.25721955741388536,34.161110689688265,23.913826643464596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,2016,2052.58151699441,7807.061166901381,678.2237701851045,404.1160219992416,3839.041693741293,1.2492463304706627,260340.85252015857,200126.39849892358,48.92676170520725,3.671435815594944,1.5201164928867645,0.12695365023438726,103.63475217890054,0.7955763615714424,0.15725873127850556,0.5421202818800204,0.4816834076741745
6,10,2017,11977.144969281377,8980.14836025152,9887.800615569791,3882.087306477307,5102.458601165536,0.6691804829843994,156760.4860974873,130277.8931160651,83.33865989016422,100.89725449283647,0.3501611482951162,0.025788849304526597,31.950665358610767,1.145839027865052,0.8237712621398708,1.6123864082821437,0.4571163074042325
7,10,2018,4128.905509995237,6395.468597786817,9002.10889465722,6640.433865586559,2578.8272055136586,1.9579214179256925,192068.20515067197,193831.90638179219,168.67169170900624,138.3456332608447,1.2919615374229725,0.6058254511037993,103.30193159834967,0.4935542740717888,0.4191208086629825,1.2011239362654758,1.0537725144813896
8,10,2019,5724.021345596258,4200.109278072575,10552.586689501439,5196.618355333824,323.48157450686386,1.1120324512846302,205328.17978308894,91918.53824529017,69.9267023956646,122.9845538632637,0.3574123745850338,0.455562046437292,21.43786993972497,1.5104252319571778,0.2900927551816981,0.19483077712116134,0.9661483637468284
9,10,2020,8207.819856927576,9062.225268138169,882.4791584372625,221.98651559297582,1773.6936842881573,0.5987866761162269,195835.57931149038,254270.41238559538,253.33025005340468,189.69732384471436,0.30630312830707807,0.37461244218390355,172.0825946640494,0.07472172245350553,0.013781017132173334,0.8596547951551985,0.24202721864731336
60,11,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924388072298847,37.834344080554196,0.02245181327847288,0.48124204895645667,282.91134679257084,0.31369748840900835,0.4533935147344358,0.5433051927718444,0.580423214419912
61,11,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10082143783567951,8.314971665565619,2.0893637172081108,0.33421402621755975,114.54962694129,1.6947615569547398,0.5400815198662973,0.3115603353364465,1.3410741508451585
62,11,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6204127016476,14.13254497015688,1.3093098477971197,0.4878837031557172,111.23863280015425,1.4304295427041285,0.08065813225162811,0.5794778507523132,0.618147810286602
63,11,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92384967060693,62.05414137825499,0.2067025303633,0.0747801550874001,160.15745416912745,0.12391426526318969,0.5294217250322621,0.3169502250527784,0.8463970833737314
64,11,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.95029321686767,116.19068578302279,0.9917390852835503,0.6060212843644446,188.95417109786652,0.9083560704434883,0.6660890796553302,0.5999478846943714,0.009316155002695191
115,12,2016,2.4609070596874805,0.18845941008198752,0.0,0.0,1.1260371510800897,5.11562808740005,9.659121679201847,3.92884619705656,336.1229272740091,114.74985287901761,1.8799715588470158,0.6324247905521404,233.84509500660087,0.30159258901493374,0.3142750302882245,0.925942236806949,0.3495075912480735
116,12,2017,2.186284124009043,1.1773422623795256,0.0,0.0,0.9472278356987943,3.2628749275837405,19.932729616286114,1.0286922147145692,102.20028306317506,39.98618472291796,1.251860743064063,0.15516222405540822,115.59280127649701,0.4817366744570189,0.5968749880060442,0.7563682946405542,0.6407878777909478
117,12,2018,2.5753111063977085,6.465634921131908,0.0,0.0,1.216207085139456,5.7356005102034775,8.687649388804962,6.40417043641234,107.35177676557197,9.262802254206314,0.8518668710278665,0.2794229019522637,43.02477099450592,0.22450164528523345,0.9364719081629924,0.6825849627549506,0.013452099618203282
118,12,2019,1.3980606418164419,5.549626506284539,0.0,0.0,1.725934987768589,2.290197835817658,13.347021076720253,2.4361515468366806,70.9003954416241,66.64366636465283,0.16245787241409265,0.04953636163792464,38.81376948609587,0.41532182824508235,0.10064557629353038,1.484046779894704,0.6963093545334031
119,12,2020,5.21035008251464,3.077297417439005,0.0,0.0,1.0605868434299535,0.8329425496830719,9.680439460688017,4.572480258533199,45.043128263442235,0.19525143230326936,0.917823147827952,0.04510913638071148,82.09466764555602,0.5049326640744637,0.15055748464058316,1.6663951740111693,1.407151493482865
170,13,2016,4.441506914005169,2.8443023564332877,0.41046357828615293,4.207070523264865,1.078746082164669,4.853540171498596,4.887846813535264,0.5160379842810664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,13,2017,5.059076236571852,5.256396462847567,1.2909176453798232,4.131251294792955,0.6929582522657587,3.3494856843804985,2.203351963346252,1.0019589989949707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,13,2018,4.711040225440177,5.44409601892105,2.2173577658976837,5.3786283339653655,0.6440807163701958,2.4661630901581284,1.166198416239137,1.555978307926516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,13,2019,0.3520127253257993,1.036633052430509,2.4104568846502086,3.005689968452937,0.6324763959692573,0.2646987443938188,2.006563903552616,0.6983022226901041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,13,2020,2.917810042845301,2.2232876826209726,4.002651447210188,3.3197297012654374,1.2125216043985712,4.337470119230872,1.4689009735337015,0.6922284895780063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,14,2016,37.85810325642288,19.27238886573608,19.828625297464356,29.427988326035532,2.505095775057833,0.7037938085199473,46.82956600260169,1.3288767741962588,625.0259106261749,133.66258601825635,0.10612196691130961,0.5128661627889323,221.0417024408936,0.08692233815993525,0.8665858940710752,0.19847043462093142,0.209155212417246
226,14,2017,12.843049957751889,24.83114929782483,18.65044708294202,13.913677755093458,12.65855444352931,1.1704297655691895,92.39733576609173,22.63378591724947,521.7703933691936,474.5200981075316,0.43447571877017477,0.26162822545150594,862.8482579240975,1.2169794927803481,0.80045637379509,0.6929857422505021,0.6557059781980085
227,14,2018,37.329882692018074,32.028927517107796,24.920034075197066,32.71343995849862,1.2687491816273626,1.9754103870891389,5.80551402253534,21.75684710592785,53.38572369315798,124.8516345477361,1.12253776912968,0.672518234493855,178.45108336753222,0.48010863203485626,0.8151975704354588,0.8645456675321235,0.6848386244971966
228,14,2019,39.85322956315858,3.445109892581502,17.857698243406848,17.69953340672928,9.569593545800315,3.319756366308093,38.51452500616982,37.90361418468265,1175.9346817918333,64.6602103994639,0.6232172905242075,0.4796644939421299,739.5273000230347,1.2784484130011182,0.36618207824433163,0.29935565481006443,0.18666036637002112
229,14,2020,14.336941835429965,42.60710120333536,13.931390125809887,0.5172501240927921,8.41287268839809,0.665106360947444,19.475371422114147,43.351358047825514,72.40570145339643,228.93148892100322,0.35113888623058104,0.29820886644511013,708.2684563708697,1.1236870253402693,0.2163767366585042,0.4712452244248835,0.4805083792306934
280,15,2016,42.85532149376543,9.94428045126511,11.758423615447755,0.768942120483674,36.34521977609326,3.0662240937896432,50.31560378803088,-1.081449853482934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,15,2017,87.68463382890856,0.4035708499872898,9.614624104145697,5.012982884616881,32.407108046930254,2.396847770194612,10.810442874081339,-0.1331644425549533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,15,2018,91.89384656527567,12.111128662461724,6.839855019181478,12.105206065911863,68.13157067352167,1.9811526920822995,76.08019353440396,-6.206818416677608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,15,2019,81.43292719315292,100.63182534645185,0.6442782586471698,10.039164806239127,58.83489899870776,1.8979816746725833,66.14158197226435,-0.6285382616846603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,15,2020,83.3712414571672,21.06652951787844,6.463378884942439,0.5637541700620288,40.1982256432511,0.38847711592575024,19.62725474869196,-28.920955872514284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,16,2016,90.14808893893377,232.80586383394805,0.0,0.0,7.158603075890193,10.666316847808444,155.2122889954379,19.603080593945755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,16,2017,30.28313496269412,28.532498816760018,0.0,0.0,0.056225306549538945,27.846786151521357,13.168811866833337,14.990754589617005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,16,2018,19.47738358642687,17.67821221262425,0.0,0.0,1.196283729459429,21.483396476029313,48.01237059767325,12.953474008697006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,16,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,16,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,17,2016,342.99347427697523,325.3633366965165,3651.616243699532,5210.936051299592,173.8073511987138,1.469705306315101,12896.91378819319,9319.976645233171,4331.844440269473,516.6122399999523,1.0904927635238222,0.16209117016870686,7251.529652171156,1.3949854029864317,0.1272449685181124,0.6086472625016913,0.6492085326158034
391,17,2017,331.483956467334,78.1700521807744,5132.976594809986,1146.9301757444591,153.04933076129024,1.2785955819433041,7896.28528465053,3939.218288277818,433.48122053647256,3608.2383960180723,1.5765287825678167,0.25630363868919404,4245.18554263809,1.6794272035686475,0.6484553191129536,1.1193190347313475,0.22316049106989647
392,17,2018,454.8056912326328,89.06137116674819,344.3417592689417,1620.2232525901588,136.49198680618736,1.4133441950560888,10486.738619912227,8393.972873528815,5147.586267358797,628.2528089090905,1.5752589422598462,0.0874957437027363,1329.8783500196187,0.43932721294178095,0.41898159531837337,0.37687922166941396,0.7023126051186013
393,17,2019,170.08398812009827,207.27768766072103,2037.685268259684,1256.9342946062839,12.36876639713338,0.008112989952155307,14480.14649830434,8108.99958063877,5930.864966063455,1420.7332854272538,0.5964783433889785,0.14132613190266974,7681.854101706606,0.14624849445171373,0.41655760700102723,1.292984119985052,0.9008924010254084
394,17,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4673.554735268996,1426.122856918814,1.1299640991435123,0.1784560504412656,192.3089236653208,0.3271471518391183,0.15690540879417877,1.0281108166893247,0.9986051756602968
445,18,2016,7.007525684826066,3.2664750553948845,0.0,0.0,0.3732730395677914,10.364294173276633,3.186335199694187,0.17058368453280998,223.35552429715548,8.253866368683333,0.1321240161934521,0.06605152259226087,787.2243586735186,1.2318107403130787,0.06329604261883356,0.30428999580239774,0.022693551491007474
446,18,2017,3.838750089872352,8.760296682469594,0.0,0.0,0.26594155592428703,29.170909022679815,1.7558586309770625,0.4123588441897942,1050.8465147294792,362.3634025989549,2.3222642037755614,0.20403136928201637,646.6683527891249,1.9614425135827986,0.758560941091805,1.1406440801289008,0.23196966974805724
447,18,2018,0.043516737381243786,10.33371527180858,0.0,0.0,0.4839816603534573,14.841306333027918,4.5087571791733305,0.17220495223671395,1451.8783033123495,673.3621094234682,1.2825631391896553,0.29191591005259937,215.61631600807294,0.7773193704578578,0.037275768909670576,0.007096650261050206,0.2772695838093619
448,18,2019,8.941291424026929,6.017240985548859,0.0,0.0,0.520393276859373,26.173309070907393,8.508221286005535,0.0005664305110606991,8.49097345358068,254.25353002318576,1.082186433796166,0.04279758509883192,357.5632357663302,1.8230236933818225,0.5169928791291267,0.2773843281934909,0.4378533427530458
449,18,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.3390359718354,12.676852952206001,0.09648306263167909,0.2699483307183886,883.2055037886543,0.841984269421432,0.42814705745383075,0.7795679474374144,0.3581234662952904
500,19,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0198125772438,140.84366182135537,1.5144753670021245,0.709526494672207,163.12883070415802,0.3078073644773746,0.6781214365846933,0.4430171108372252,0.041240859319622396
501,19,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.2092565033898,422.6204114933445,0.5430549557656743,0.5659203517222194,356.9860626502811,1.4482506233548913,0.4040496432683515,0.7669045575732653,0.08935998965920912
502,19,2018,3.9071565602021647,1.6366920036264814,0.0,0.0,0.8904795092327299,6.55943230787002,6.253625810978977,0.02782146008377961,100.67669268804632,45.385609975227204,1.321923903297114,0.572008218239269,797.4431974682163,1.6625457912178392,0.37114593682134606,0.6619959893750348,0.026297335371884
503,19,2019,3521.2839282392047,2023.4062836195524,3535.4343795438876,2006.2944528705282,431.38507851478806,0.29910184805212287,13028.09136001894,4052.69506395175,726.7940674623937,552.0427778117497,1.9319211462630752,0.20776125400684065,601.5007910964098,1.7333084660083253,0.039635838406595125,0.8521640642803177,1.270548390934372
504,19,2020,1551.4374544265434,2350.6616287022766,3135.9570859213627,326.55132320821167,2100.1317208929736,0.42615033028361576,11122.875919546974,5785.533136129624,338.1191335407488,33.63578328331095,0.8027079584989698,0.5268235573653237,176.21474535603332,1.8519444868371586,0.00795583481358661,1.1265169683639906,0.8694704540025072
560,20,2016,8.031836646592879,14.898308101875212,0.006242913190380224,0.0008169512619736509,1.4100472834863675,0.9601377714064795,33.69017643099686,31.486712105227376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,20,2017,8.856086469050611,10.246968091407307,0.09626403952451275,0.013638153771656041,0.1628560417137781,2.8054152409191877,16.03935336221338,12.934613685391582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,20,2018,3.5996690585498077,7.677960509992987,0.0,0.0,3.1942853584751334,8.44880269254599,1.0271600835875594,16.050586722445242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,20,2019,0.5388335729162907,11.466920152613387,0.0,0.0,0.7607067526226629,3.777232476022582,47.705084373043,19.083639522534156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,20,2020,5.802848186204092,16.98613146723303,0.0,0.0,1.2254570291080744,8.131926333276175,29.189538872535103,1.506443638698795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,21,2016,0.35421255504054694,4.765459336967807,0.0,0.0,0.35075162256373504,5.192499491165645,4.245603105492149,1.303902067502636,-0.9095196015281266,1.5612155547108022,0.038587250667535225,0.6144824059695206,0.7875443932369008,0.4164151272456287,1.4327459943530447,1.0889969235639088,0.10407956737429817
616,21,2017,6.265815961729136,5.872611018471215,0.0,0.0,0.3858664302580038,20.910828604776768,6.307508091328134,1.124712679493935,-7.651347235732007,3.0830692673175557,1.0407410356452607,0.0435247287377521,0.004441839391291242,0.2047136449465761,0.3813766715399794,0.512625512599976,0.3822698918910578
617,21,2018,20.414860890205755,41.34827800730576,0.0,0.0,0.030803301550864443,3.4852261705012273,222.15156923341783,41.07406095489204,-15.433770750933947,4.18311476262788,0.7555215361081171,0.49512578587517636,-0.858067124066125,0.5752477950622336,0.89043980035303,0.10432597878540764,0.44399795088807065
618,21,2019,81.54641145369162,26.195596093461074,0.0,0.0,13.188410847977288,3.785577895723703,149.31263612382523,21.568072563230334,-12.07106987456396,1.9906742408221398,0.608989532078705,0.21569948423984037,-4.727244298668378,0.07186399499598237,0.8513709106687101,0.306045006022683,0.053089410707164685
619,21,2020,11.383221225300058,2.481396015846702,0.0,0.027259238860850583,35.54120503158194,1.193191115234949,7.869630431567022,49.44700175896672,-2.4598123959693132,8.520762680306902,3.0992081431782994,0.32509915013927876,-0.7708701184918274,0.9819224015758827,0.45680571017636534,0.2971079055773249,3.7578044589534763
